Freq.	V(out)
2.29086765276775e+003	(1.15080288103639e+000dB,-1.76375305944185e+002°)
2.34422881531990e+003	(1.00544617426456e+000dB,-1.77617263700851e+002°)
2.39883291901947e+003	(9.19188675878015e-001dB,-1.78926216116069e+002°)
2.45470891568501e+003	(8.98687771265490e-001dB,1.79664339784773e+002°)
2.51188643150955e+003	(9.52558895636724e-001dB,1.78110704576580e+002°)
2.57039578276884e+003	(1.09196636558201e+000dB,1.76353301079354e+002°)
2.63026799189535e+003	(1.33143047494286e+000dB,1.74307326754368e+002°)
2.69153480392689e+003	(1.68988814145085e+000dB,1.71846638750328e+002°)
2.75422870333814e+003	(2.19192270835867e+000dB,1.68774637652136e+002°)
2.81838293126442e+003	(2.86854948036801e+000dB,1.64769154564220e+002°)
2.88403150312658e+003	(3.75486717430393e+000dB,1.59274201937696e+002°)
2.95120922666635e+003	(4.87392193768814e+000dB,1.51288791206261e+002°)
3.01995172040198e+003	(6.16773271652756e+000dB,1.39030994848971e+002°)
3.09029543251356e+003	(7.27546921749198e+000dB,1.20032743949509e+002°)
3.16227766016835e+003	(7.27695398359892e+000dB,9.44453327965540e+001°)
3.23593656929625e+003	(5.59477454903070e+000dB,6.97984695640829e+001°)
3.31131121482588e+003	(3.01631850512488e+000dB,5.23353128052970e+001°)
3.38844156139199e+003	(3.63334912758382e-001dB,4.11723296536328e+001°)
